date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,344733,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,NA,NA
202053,AG,male,78,sex,344733,78,0.02,0.02,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.341,34.1
202101,AG,male,1188,sex,344733,1266,0.34,0.37,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.473,47.3
202102,AG,male,1536,sex,344733,2802,0.45,0.81,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.442,44.2
202103,AG,male,2733,sex,344733,5535,0.79,1.61,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.459,45.9
202104,AG,male,2294,sex,344733,7829,0.67,2.27,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.416,41.6
202105,AG,male,2388,sex,344733,10217,0.69,2.96,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.395,39.5
202106,AG,male,2100,sex,344733,12317,0.61,3.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.401,40.1
202107,AG,male,2575,sex,344733,14892,0.75,4.32,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.438,43.8
202108,AG,male,3978,sex,344733,18870,1.15,5.47,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.471,47.099999999999994
202109,AG,male,3622,sex,344733,22492,1.05,6.52,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.464,46.400000000000006
202110,AG,male,4000,sex,344733,26492,1.16,7.68,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.471,47.099999999999994
202111,AG,male,2377,sex,344733,28869,0.69,8.37,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.471,47.099999999999994
202112,AG,male,3714,sex,344733,32583,1.08,9.45,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.48,48
202113,AG,male,4475,sex,344733,37058,1.3,10.75,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.478,47.8
202114,AG,male,5706,sex,344733,42764,1.66,12.4,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.469,46.9
202115,AG,male,8034,sex,344733,50798,2.33,14.74,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.424,42.4
202116,AG,male,10771,sex,344733,61569,3.12,17.86,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.489,48.9
202117,AG,male,7419,sex,344733,68988,2.15,20.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.481,48.1
202118,AG,male,11325,sex,344733,80313,3.29,23.3,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.499,49.9
202119,AG,male,8681,sex,344733,88994,2.52,25.82,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.474,47.4
202120,AG,male,8295,sex,344733,97289,2.41,28.22,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.489,48.9
202121,AG,male,12200,sex,344733,109489,3.54,31.76,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.515,51.5
202122,AG,male,13677,sex,344733,123166,3.97,35.73,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.539,53.900000000000006
202123,AG,male,16781,sex,344733,139947,4.87,40.6,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.547,54.7
202124,AG,male,14195,sex,344733,154142,4.12,44.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.559,55.900000000000006
202052,AG,female,0,sex,341112,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,NA,NA
202053,AG,female,151,sex,341112,151,0.04,0.04,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.659,65.9
202101,AG,female,1320,sex,341112,1471,0.39,0.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.526,52.6
202102,AG,female,1938,sex,341112,3409,0.57,1,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.558,55.800000000000004
202103,AG,female,3215,sex,341112,6624,0.94,1.94,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.541,54.1
202104,AG,female,3226,sex,341112,9850,0.95,2.89,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.584,58.4
202105,AG,female,3652,sex,341112,13502,1.07,3.96,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.605,60.5
202106,AG,female,3142,sex,341112,16644,0.92,4.88,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.599,59.9
202107,AG,female,3301,sex,341112,19945,0.97,5.85,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.562,56.2
202108,AG,female,4473,sex,341112,24418,1.31,7.16,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.529,52.900000000000006
202109,AG,female,4179,sex,341112,28597,1.23,8.38,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.536,53.6
202110,AG,female,4495,sex,341112,33092,1.32,9.7,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.529,52.900000000000006
202111,AG,female,2668,sex,341112,35760,0.78,10.48,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.529,52.900000000000006
202112,AG,female,4024,sex,341112,39784,1.18,11.66,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.52,52
202113,AG,female,4890,sex,341112,44674,1.43,13.1,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.522,52.2
202114,AG,female,6471,sex,341112,51145,1.9,14.99,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.531,53.1
202115,AG,female,10899,sex,341112,62044,3.2,18.19,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.576,57.599999999999994
202116,AG,female,11242,sex,341112,73286,3.3,21.48,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.511,51.1
202117,AG,female,8006,sex,341112,81292,2.35,23.83,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.519,51.9
202118,AG,female,11353,sex,341112,92645,3.33,27.16,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.501,50.1
202119,AG,female,9620,sex,341112,102265,2.82,29.98,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.526,52.6
202120,AG,female,8665,sex,341112,110930,2.54,32.52,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.511,51.1
202121,AG,female,11500,sex,341112,122430,3.37,35.89,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.485,48.5
202122,AG,female,11719,sex,341112,134149,3.44,39.33,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.461,46.1
202123,AG,female,13871,sex,341112,148020,4.07,43.39,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.453,45.300000000000004
202124,AG,female,11177,sex,341112,159197,3.28,46.67,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.441,44.1
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,NA,NA
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202101,AG,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202102,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202103,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202104,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202105,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202106,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202107,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202108,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202109,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
