geoRegion,date,sumTotal,pop,per100PersonsTotal,type,version
AG,2021-01-29,40650,685845,5.93,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-01-30,40650,685845,5.93,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-01-31,40650,685845,5.93,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-01,40650,685845,5.93,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-02,40650,685845,5.93,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-03,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-04,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-05,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-06,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-07,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-08,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-09,60025,685845,8.75,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-10,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-11,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-12,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-13,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-14,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-15,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-16,61000,685845,8.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-17,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-18,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-19,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-20,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-21,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-22,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-23,67825,685845,9.89,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-24,74650,685845,10.88,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-25,74650,685845,10.88,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-26,74650,685845,10.88,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-27,74650,685845,10.88,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-02-28,89050,685845,12.98,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-01,89050,685845,12.98,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-02,89050,685845,12.98,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-03,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-04,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-05,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-06,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-07,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-08,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-09,99775,685845,14.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-10,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-11,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-12,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-13,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-14,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-15,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-16,103675,685845,15.12,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-17,105625,685845,15.4,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-18,105625,685845,15.4,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-19,105625,685845,15.4,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-20,105625,685845,15.4,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-21,132625,685845,19.34,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-22,132625,685845,19.34,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-23,132625,685845,19.34,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-24,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-25,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-26,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-27,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-28,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-29,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-30,138475,685845,20.19,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-03-31,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-01,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-02,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-03,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-04,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-05,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-06,170375,685845,24.84,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-07,182075,685845,26.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-08,182075,685845,26.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-09,182075,685845,26.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-10,182075,685845,26.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
AG,2021-04-11,182075,685845,26.55,COVID19VaccDosesContingent,2021-06-23_00-00-00
