date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.86,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-27,AG,0,685845,0,0,0,0,32.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-28,AG,97,685845,97,0.01,0,0.01,32.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-29,AG,62,685845,159,0.01,0,0.02,32.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-30,AG,69,685845,228,0.01,0,0.03,32.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2020-12-31,AG,0,685845,228,0,0,0.03,32.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-01,AG,1,685845,229,0,0,0.03,19,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-02,AG,0,685845,229,0,0.01,0.03,75,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-03,AG,0,685845,229,0,0.02,0.03,132.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-04,AG,1,685845,230,0,0.04,0.03,235.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-05,AG,454,685845,684,0.07,0.05,0.1,327.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-06,AG,472,685845,1156,0.07,0.05,0.17,358.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-07,AG,722,685845,1878,0.11,0.05,0.27,358.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-08,AG,644,685845,2522,0.09,0.06,0.37,428.29,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-09,AG,216,685845,2738,0.03,0.07,0.4,481.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-10,AG,0,685845,2738,0,0.07,0.4,514,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-11,AG,490,685845,3228,0.07,0.07,0.47,510.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-12,AG,827,685845,4055,0.12,0.07,0.59,495.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-13,AG,699,685845,4754,0.1,0.07,0.69,496.29,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-14,AG,697,685845,5451,0.1,0.07,0.79,496.29,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-15,AG,540,685845,5991,0.08,0.08,0.87,546.86,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-16,AG,221,685845,6212,0.03,0.08,0.91,553.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-17,AG,0,685845,6212,0,0.09,0.91,647,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-18,AG,844,685845,7056,0.12,0.11,1.03,782.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-19,AG,874,685845,7930,0.13,0.13,1.16,864,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-20,AG,1353,685845,9283,0.2,0.12,1.35,849.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-21,AG,1646,685845,10929,0.24,0.12,1.59,849.71,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-22,AG,1110,685845,12039,0.16,0.13,1.76,903.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-23,AG,121,685845,12160,0.02,0.15,1.77,989.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-24,AG,0,685845,12160,0,0.14,1.77,935.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-25,AG,1221,685845,13381,0.18,0.13,1.95,900.29,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-26,AG,1475,685845,14856,0.22,0.12,2.17,805.86,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-27,AG,975,685845,15831,0.14,0.12,2.31,788.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-28,AG,1400,685845,17231,0.2,0.12,2.51,788.57,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-29,AG,449,685845,17680,0.07,0.1,2.58,698.29,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-30,AG,0,685845,17680,0,0.1,2.58,674.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-01-31,AG,0,685845,17680,0,0.11,2.58,759.14,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-01,AG,589,685845,18269,0.09,0.11,2.66,733.43,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-02,AG,1308,685845,19577,0.19,0.13,2.85,856.14,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-03,AG,1568,685845,21145,0.23,0.13,3.08,862.86,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-04,AG,1220,685845,22365,0.18,0.13,3.26,862.86,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-05,AG,1308,685845,23673,0.19,0.13,3.45,873.29,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-06,AG,47,685845,23720,0.01,0.12,3.46,843,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
2021-02-07,AG,0,685845,23720,0,0.12,3.46,797.14,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed
